med_category,med_dose_unit,volume_infusion_rate_units,description,med_name_examples,med_group
epoprostenol,mcg,mcg/kg/min,Inhaled prostacyclin for pulmonary hypertension,"EPOPROSTENOL 50000 MCG CONTINUOUS NEBULIZER, EPOPROSTENOL 30000 NG/MIN INHALED",pulmonary_vasodilators_inhaled
eptifibatide,mcg,mcg/kg/min,Glycoprotein IIb/IIIa inhibitor antiplatelet,"EPTIFIBATIDE 75 MG/100 ML IV INFUSION, EPTIFIBATIDE 2 MCG/KG/MIN IV",anticoagulation
esmolol,mcg,mcg/kg/min,Ultra-short acting beta blocker,"ESMOLOL 2500 MG/250 ML IV INFUSION, ESMOLOL 50-300 MCG/KG/MIN IV",cardiac
esomeprazole,mg,mg/hr,Proton pump inhibitor for acid suppression,"ESOMEPRAZOLE 40 MG/100 ML IV INFUSION, ESOMEPRAZOLE 8 MG/HR IV CONTINUOUS",gastrointestinal
fentanyl,mcg,mcg/hr,Opioid analgesic,"FENTANYL 2500 MCG/50 ML IV INFUSION, FENTANYL 25-200 MCG/HR IV",sedation
furosemide,mg,mg/hr,Loop diuretic for fluid management,"FUROSEMIDE 200 MG/100 ML IV INFUSION, FUROSEMIDE 5-20 MG/HR IV CONTINUOUS",diuretics
heparin,units,"units/kg/hr, units/hr",Anticoagulant for thrombosis treatment and prevention. Occasionally run at low fixed units/hr.,"HEPARIN 25000 UNITS/250 ML IV INFUSION, HEPARIN 12-18 UNITS/KG/HR IV",anticoagulation
hydromorphone,mg,mg/hr,Opioid analgesic,"HYDROMORPHONE 50 MG/50 ML IV INFUSION, HYDROMORPHONE 0.5-3 MG/HR IV PCA",sedation
insulin,units,units/hr,Hormone for glucose management,"INSULIN REGULAR 100 UNITS/100 ML IV INFUSION, INSULIN 1-10 UNITS/HR IV",endocrine
ipratropium,ml,ml,Anticholinergic bronchodilator,"IPRATROPIUM 0.5 MG/2.5 ML NEBULIZER, IPRATROPIUM 0.5 MG Q4H NEBULIZER",inhaled
isoproterenol,mcg,mcg/kg/min,Beta agonist to increase heart rate,"ISOPROTERENOL 1 MG/250 ML IV INFUSION, ISOPROTERENOL 0.02-0.1 MCG/KG/MIN IV",vasoactives
ketamine,mg,mg/kg/hr,Dissociative anesthetic for sedation and analgesia,"KETAMINE 500 MG/50 ML IV INFUSION, KETAMINE 0.1-0.5 MG/KG/HR IV",sedation
labetalol,mg,mg/min,Alpha and beta blocker for hypertension,"LABETALOL 200 MG/200 ML IV INFUSION, LABETALOL 0.5-2 MG/MIN IV",cardiac
lactated_ringers_solution,ml,ml/hr,Balanced crystalloid for fluid resuscitation,"LACTATED RINGERS 1000 ML IV BOLUS, LR 500 ML IV AT 200 ML/HR",fluids_electrolytes
levothyroxine,mcg,mcg/hr,Thyroid hormone replacement therapy,"LEVOTHYROXINE 200 MCG/100 ML IV INFUSION, LEVOTHYROXINE 100 MCG IV DAILY",endocrine
lidocaine,mg,mg/min,Antiarrhythmic and local anesthetic,"LIDOCAINE 2 GM/500 ML IV INFUSION, LIDOCAINE 1-4 MG/MIN IV",cardiac
liothyronine,mcg,mcg/hr,Synthetic T3 thyroid hormone,"LIOTHYRONINE 100 MCG/100 ML IV INFUSION, LIOTHYRONINE 10 MCG IV Q8H",endocrine
lorazepam,mg,mg/hr,Benzodiazepine for anxiety and sedation,"LORAZEPAM 50 MG/50 ML IV INFUSION, LORAZEPAM 1-4 MG/HR IV",sedation
magnesium_sulfate,g,g/hr,Electrolyte replacement and antiarrhythmic,"MAGNESIUM SULFATE 20 GM/250 ML IV INFUSION, MAGNESIUM 1-2 GM/HR IV",others
midazolam,mg,mg/hr,Benzodiazepine for anxiety and sedation,"MIDAZOLAM 100 MG/100 ML IV INFUSION, MIDAZOLAM 1-10 MG/HR IV",sedation
milrinone,mcg,mcg/kg/min,Phosphodiesterase inhibitor inotrope,"MILRINONE 40 MG/200 ML IV INFUSION, MILRINONE 0.375-0.75 MCG/KG/MIN IV",vasoactives
morphine,mg,mg/hr,Opiate analgesic,"MORPHINE 100 MG/100 ML IV INFUSION, MORPHINE 1-5 MG/HR IV PCA",sedation
naloxone,mcg,mcg/kg/hr,Opioid antagonist for reversal,"NALOXONE 0.4 MG/100 ML IV INFUSION, NALOXONE 0.25-2 MCG/KG/HR IV",others
nicardipine,mg,mg/hr,Calcium channel blocker for hypertension,"NICARDIPINE 25 MG/250 ML IV INFUSION, NICARDIPINE 5-15 MG/HR IV",cardiac
nitric_oxide,ppm,ppm,Inhaled pulmonary vasodilator,"NITRIC OXIDE 20 PPM INHALED CONTINUOUS, NITRIC OXIDE 5-40 PPM VENTILATOR",pulmonary_vasodilators_inhaled
nitroglycerin,mcg,mcg/min,Nitrate vasodilator for angina and hypertension,"NITROGLYCERIN 50 MG/250 ML IV INFUSION, NITROGLYCERIN 5-200 MCG/MIN IV",cardiac
nitroprusside,mcg,mcg/kg/min,Arterial vasodilator for hypertensive emergency,"NITROPRUSSIDE 50 MG/250 ML IV INFUSION, NITROPRUSSIDE 0.3-10 MCG/KG/MIN IV",cardiac
norepinephrine,mcg,mcg/kg/min,Catecholamine for hemodynamic support,"NOREPINEPHRINE 16 MG/250 ML IV INFUSION, NOREPINEPHRINE 0.01-3 MCG/KG/MIN IV",vasoactives
octreotide,mcg,mcg/hr,Somatostatin analog for GI bleeding,"OCTREOTIDE 1000 MCG/250 ML IV INFUSION, OCTREOTIDE 25-50 MCG/HR IV",gastrointestinal
oxytocin,milli_units,milli_units/min,Hormone for labor induction and postpartum bleeding,"OXYTOCIN 30 UNITS/500 ML IV INFUSION, OXYTOCIN 1-20 MILLIUNITS/MIN IV",endocrine
pantoprazole,mg,mg/hr,Proton pump inhibitor for acid suppression,"PANTOPRAZOLE 80 MG/100 ML IV INFUSION, PANTOPRAZOLE 8 MG/HR IV CONTINUOUS",gastrointestinal
papaverine,mg,mg/hr,Smooth muscle relaxant vasodilator,"PAPAVERINE 300 MG/250 ML IV INFUSION, PAPAVERINE 30-60 MG/HR IV ARTERIAL",cardiac
pentobarbital,mg,mg/kg/hr,Barbiturate for refractory intracranial hypertension,"PENTOBARBITAL 500 MG/250 ML IV INFUSION, PENTOBARBITAL 1-5 MG/KG/HR IV",sedation
phentolamine,mg,mg/min,Alpha blocker for extravasation and hypertension,"PHENTOLAMINE 10 MG/250 ML IV INFUSION, PHENTOLAMINE 0.1-2 MG/MIN IV",others
phenylephrine,mcg,mcg/kg/min,Alpha-1 agonist vasopressor,"PHENYLEPHRINE 200 MG/250 ML IV INFUSION, PHENYLEPHRINE 0.5-3 MCG/KG/MIN IV",vasoactives
pitocin,milli_units,milli_units/min,Synthetic oxytocin for labor augmentation,"PITOCIN 20 UNITS/1000 ML IV INFUSION, PITOCIN 2-20 MILLIUNITS/MIN IV",others
plasma_lyte,ml,ml/hr,Balanced crystalloid electrolyte solution,"PLASMA-LYTE A 1000 ML IV MAINTENANCE, PLASMA-LYTE 500 ML IV AT 150 ML/HR",fluids_electrolytes
procainamide,mg,mg/min,Antiarrhythmic for ventricular arrhythmias,"PROCAINAMIDE 2 GM/500 ML IV INFUSION, PROCAINAMIDE 1-6 MG/MIN IV",cardiac
propofol,mcg,mcg/kg/min,Sedative-hypnotic for anesthesia and sedation,"PROPOFOL 1000 MG/100 ML IV INFUSION, PROPOFOL 5-50 MCG/KG/MIN IV",sedation
remifentanil,mcg,mcg/kg/min,Ultra-short acting opioid analgesic,"REMIFENTANIL 5 MG/100 ML IV INFUSION, REMIFENTANIL 0.05-2 MCG/KG/MIN IV",sedation
rocuronium,mcg,mcg/kg/min,Neuromuscular blocking agent for paralysis,"ROCURONIUM 500 MG/100 ML IV INFUSION, ROCURONIUM 8-12 MCG/KG/MIN IV",paralytics
ropivacaine,ml,ml/hr,Long-acting local anesthetic,"ROPIVACAINE 0.2% 200 ML EPIDURAL INFUSION, ROPIVACAINE 6-14 ML/HR EPIDURAL",others
sodium_bicarbonate,ml/hr,ml/hr,Alkalinizing agent,"SODIUM BICARBONATE 150 MEQ/1000 ML IV INFUSION, BICARB 50-100 MEQ/HR IV",fluids_electrolytes
sodium_chloride,ml,ml/hr,Isotonic saline for fluid replacement,"SODIUM CHLORIDE 0.9% 1000 ML IV MAINTENANCE, NORMAL SALINE 500 ML IV BOLUS",fluids_electrolytes
tacrolimus,mcg,mcg/kg/day,Immunosuppressant for transplant and other indications,"TACROLIMUS 5 MG/250 ML IV INFUSION, TACROLIMUS 0.01-0.05 MG/KG/DAY IV",others
terbutaline,mg,mg,Beta-2 agonist for bronchospasm,"TERBUTALINE 5 MG CONTINUOUS NEBULIZER, TERBUTALINE 10 MG NEBULIZER Q4H",inhaled
terbutaline,mcg,mcg/kg/min,Beta-2 agonist tocolytic for preterm labor,"TERBUTALINE 5 MG/500 ML IV INFUSION, TERBUTALINE 2.5-10 MCG/MIN IV",others
torsemide,mg,mg/hr,Loop diuretic for fluid management,"TORSEMIDE 100 MG/250 ML IV INFUSION, TORSEMIDE 20 MG IV Q12H",diuretics
tpn,ml,ml/hr,Total parenteral nutrition for IV feeding,"TPN 2000 ML IV CONTINUOUS, TPN STANDARD FORMULA 1500 ML/DAY IV",fluids_electrolytes
treprostinil,ng,ng/kg/min,Prostacyclin analog for pulmonary hypertension,"TREPROSTINIL 20 MG/100 ML IV INFUSION, TREPROSTINIL 1-40 NG/KG/MIN IV",pulmonary_vasodilators_iv
vasopressin,units,units/min,Antidiuretic hormone for septic shock,"VASOPRESSIN 20 UNITS/100 ML IV INFUSION, VASOPRESSIN 0.01-0.04 UNITS/MIN IV",vasoactives
vecuronium,mcg,mcg/kg/min,Neuromuscular blocking agent for paralysis,"VECURONIUM 100 MG/100 ML IV INFUSION, VECURONIUM 0.8-1.2 MCG/KG/MIN IV",paralytics
zidovudine,mg,mg/kg/hr,Antiretroviral for HIV prevention,"ZIDOVUDINE 200 MG/200 ML IV INFUSION, ZIDOVUDINE 1-2 MG/KG Q4H IV",others
